#1 SWversion,1.2
#1 HWversion,3.4
#1 PowerMode,Normal
#1 InputVoltage,13.5
#1 Current(A/uA),1.8
#1 Current(uA),
#1 Diagnostic,1
#1 Lightsensor,5376
#1 Touch_finger,
#1 Touch_XY,
#1 Brightness(%),100
#1 T_chamber,75
"#1 T_LED1, LED2, PCB","65, 87, 85"
#1 Diagnostic_raw,FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A
#1 CurrentList,"1.96, 1.52, 1.2, 1.96, 1.44, 1.16, 1.28, 1.12, 1.4, 1.56, 1.04, 1.76, 1.92, 1.84, 1.8, 1.48, 1.44, 1.52, 1.36, 1.8, "
#1 LightsensorList,"318767104, 1310720, -1073741824, 1245184, 80, 1408, 1476395008, 1638400, 983040, 637534208, 19136512, 1933312, 548864, 738197504, 224, 3145728, 1241513984, 159744, 402653184, 1408, 1088, 5376, "

#2 SWversion,1.2
#2 HWversion,3.4
#2 PowerMode,Normal
#2 InputVoltage,13.7
#2 Current(A/uA),1.92
#2 Current(uA),
#2 Diagnostic,1
#2 Lightsensor,-2147483648
#2 Touch_finger,
#2 Touch_XY,
#2 Brightness(%),100
#2 T_chamber,75
"#2 T_LED1, LED2, PCB","85, 85, 85"
#2 Diagnostic_raw,FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A
#2 CurrentList,"1, 1.12, 1.96, 1.16, 1.96, 1.72, 1.12, 1.16, 1.24, 1.04, 1.84, 1.44, 1.08, 1.84, 1.12, 1.36, 1.92, 1.72, 1.56, 1.92, "
#2 LightsensorList,"33554432, 8126464, 29360128, 122, 13824, 96468992, 2368, 1073741824, 35840, 268435456, 5242880, 122880, 11534336, 576, 3145728, 77594624, 928, 616, 33, 41943040, 4587520, -2147483648, "

#3 SWversion,1.2
#3 HWversion,3.4
#3 PowerMode,Normal
#3 InputVoltage,13.5
#3 Current(A/uA),1.6
#3 Current(uA),
#3 Diagnostic,1
#3 Lightsensor,90177536
#3 Touch_finger,
#3 Touch_XY,
#3 Brightness(%),100
#3 T_chamber,75
"#3 T_LED1, LED2, PCB","67, 89, 85"
#3 Diagnostic_raw,FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
#3 CurrentList,"1.68, 1.52, 1.24, 1.24, 1.16, 1.36, 1, 1.36, 1.76, 1.28, 1.88, 1.36, 1.6, 1.72, 1.48, 1.88, 1.04, 1.2, 1.52, 1.6, "
#3 LightsensorList,"69206016, 73728, 14680064, 14155776, 2260992, 17825792, 22016, 46137344, 168, 32, 150994944, -2147483648, 3735552, 402653184, 31744, -1207959552, 14336, 301989888, 1073741824, -1073741824, 0, 90177536, "
