#1 SWversion,1.2
#1 HWversion,3.4
#1 PowerMode,Normal
#1 InputVoltage,13.7
#1 Current(A/uA),1.04
#1 Current(uA),
#1 Diagnostic,1
#1 Lightsensor,956301312
#1 Touch_finger,
#1 Touch_XY,
#1 Brightness(%),100
#1 T_chamber,75
"#1 T_LED1, LED2, PCB","69, 87, 85"
#1 Diagnostic_raw,FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A
#1 CurrentList,"1.8, 1.52, 1.24, 1.56, 1.6, 1.84, 1.04, 1.96, 1.28, 1.6, 1.04, 1.6, 1.76, 1.52, 1.44, 1.36, 1.24, 1.56, 1.68, 1.04, "
#1 LightsensorList,"39845888, 256, 73728, 1476395008, 62914560, 0, 40960, 1664, 1408, 442368, 75497472, 7864320, 200704, 92274688, 22, 8126464, 144, 34603008, 458752, 10240, 2326528, 18612224, -2147483648, 92, 1073741824, 956301312, "

#2 SWversion,1.2
#2 HWversion,3.4
#2 PowerMode,Normal
#2 InputVoltage,13.3
#2 Current(A/uA),1.04
#2 Current(uA),
#2 Diagnostic,1
#2 Lightsensor,32768
#2 Touch_finger,
#2 Touch_XY,
#2 Brightness(%),100
#2 T_chamber,75
"#2 T_LED1, LED2, PCB","65, 85, 85"
#2 Diagnostic_raw,FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A
#2 CurrentList,"1.04, 1.4, 1.8, 1.72, 1.36, 1.04, 1.04, 1.24, 1.44, 1.84, 1.68, 1.96, 1.56, 1.08, 1.48, 1.52, 1.2, 1.68, 1.04, 1.04, "
#2 LightsensorList,"2304, 117440512, 752, 57671680, 336, 40894464, 32768, 944, 253952, 1792, -268435456, -2147483648, 17301504, 440, 13312, 9699328, 7936, 4587520, -2147483648, -1610612736, 88080384, 54525952, 2176, 67108864, 1792, 32768, "

#3 SWversion,1.2
#3 HWversion,3.4
#3 PowerMode,Normal
#3 InputVoltage,13.3
#3 Current(A/uA),1.36
#3 Current(uA),
#3 Diagnostic,1
#3 Lightsensor,46137344
#3 Touch_finger,
#3 Touch_XY,
#3 Brightness(%),100
#3 T_chamber,95
"#3 T_LED1, LED2, PCB","65, 89, 85"
#3 Diagnostic_raw,FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
#3 CurrentList,"1.64, 1.24, 1.72, 1.16, 1.8, 1.52, 1.32, 5.84, 1.6, 1.32, 1.08, 1.32, 1.44, 1.88, 1.84, 1.48, 1.84, 1.4, 1.76, 1.36, "
#3 LightsensorList,"30720, 472, 6656, 308, 655360, -1073741824, 10485760, 35651584, 622592, 24117248, 0, 1900544, -2147483648, 598016, 171966464, 30408704, 0, 753664, 180224, 12, 35840, -805306368, 5242880, 587202560, 127926272, 46137344, "
