#1 SWversion,1.2
#1 HWversion,3.4
#1 PowerMode,Normal
#1 InputVoltage,13.5
#1 Current(A/uA),1.56
#1 Current(uA),
#1 Diagnostic,1
#1 Lightsensor,939524096
#1 Touch_finger,
#1 Touch_XY,
#1 Brightness(%),100
#1 T_chamber,75
"#1 T_LED1, LED2, PCB","69, 87, 85"
#1 Diagnostic_raw,FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A
#1 CurrentList,"1.92, 1.92, 1.8, 5.52, 5.48, 5.76, 1.88, 5.36, 1.4, 1.52, 1.52, 1.84, 1.28, 1.92, 1.64, 1.68, 1.4, 1.48, 1.24, 1.56, "
#1 LightsensorList,"3670016, 48234496, 12800, 1600, -2147483648, 436207616, 27136, 327680, 23068672, 79691776, 9437184, 29696, 229376, 20480, 57671680, 1224736768, 31744, 58720256, 10747904, 939524096, "

#2 SWversion,1.2
#2 HWversion,3.4
#2 PowerMode,Normal
#2 InputVoltage,13.3
#2 Current(A/uA),1.44
#2 Current(uA),
#2 Diagnostic,1
#2 Lightsensor,-536870912
#2 Touch_finger,
#2 Touch_XY,
#2 Brightness(%),100
#2 T_chamber,75
"#2 T_LED1, LED2, PCB","65, 85, 85"
#2 Diagnostic_raw,FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A
#2 CurrentList,"1.52, 1.36, 1.24, 1.68, 1.12, 1.04, 1.56, 1.44, 1.4, 1.12, 1.68, 1.12, 1.72, 1.04, 1.56, 1.72, 1.76, 1.6, 1.88, 1.44, "
#2 LightsensorList,"13824, 268435456, 368, 98304, 96468992, 14848, 1073741824, 7864320, 27262976, 29184, -1207959552, 4992, 10747904, 0, 233472, 1073741824, 603979776, 1966080, 38912, -536870912, "

#3 SWversion,1.2
#3 HWversion,3.4
#3 PowerMode,Normal
#3 InputVoltage,13.3
#3 Current(A/uA),1.44
#3 Current(uA),
#3 Diagnostic,1
#3 Lightsensor,49152
#3 Touch_finger,
#3 Touch_XY,
#3 Brightness(%),100
#3 T_chamber,75
"#3 T_LED1, LED2, PCB","67, 85, 85"
#3 Diagnostic_raw,FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
#3 CurrentList,"1.88, 1.64, 1.6, 1.96, 1.72, 1.28, 5.92, 1.92, 1.6, 1.92, 1.16, 1, 1.88, 1.2, 1, 1.24, 1.56, 1.92, 1.92, 1.44, "
#3 LightsensorList,"36864, 11796480, 9961472, 956301312, 13631488, 156, 992, 44, 1245184, 496, 80, 237568, 1474560, 14336, 771751936, 436207616, 59392, 20447232, 135168, 49152, "
